# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 813  of event 'cpu_core/mem-loads-aux/'
# Total weight : 817
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                          Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..............................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.12%             1  0             N/A                                      [.] g_hash_table_lookup         libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] helper_gvec_addp_b          qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] helper_rbit64               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] intel_idle                  [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] ldsem_down_read             [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fcece3d504f          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fcece40ceee          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced211935f          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced221164f          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced2211667          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced22116bc          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced221d7a1          [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
